role	path	bytes	sha256	read_at	state
preserved-skill-context	/tmp/5f4fea-primary-full-context.t8cGYk/system-prompt.md	134125	c5026e0ed3593843030a6af8bc0da5661ad0017679ac0b5e1f9911c8be43b745	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-spirit	/home/li/primary/vision-raw/spirit.md	1864	9dba681dc4d636fc8122fc608fc714bc8a6673d1f08fc5cde64706ec27135a49	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/anatomy.md	202	7e85b973e5e94c022295f41ecdb438ce8b6854a89224e38f2681b6d4b5129ec3	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/context.md	164	f3c12491f9bb235b2ddbfb91d32d4cfb6677db1911f7ddaa455dbb5021e00df7	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/conversion.md	263	7ef61f1632bee7472dc2c940a1f29f79f970d50b5e26365b4fab4ec840946d4b	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/data.md	1081	28f5b5666e3fa596ad1b395f91c2753603a77727ca00e9fd9af119ea807f9ed7	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/mandatoryTraits.md	661	7de34d9471ae067570802b12d7d158fb3771c2e1e303aed3fef4cd1cebed9f18	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/protosParsing.md	1259	a43b4d1f4ed960e6eacb1a06b55fb500cbff0eae1634739b62b9d75e70c09bb0	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/archive-ethosMonolith.md	1833	9970b110f78e7ace24c17112cc023cf38350babb2f8d3c874e63ee37b47b17c7	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/datom.md	15208	7a097b0ed047c205aa12a31b8f8fcf9e8bf8dca88d98bbf917eccaffcc9f3003	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/distillation.md	1356	d917dd9d7b538e0466abcc426ad6d1e3d7334407234436fec25dd33924cd47a9	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/ethos.md	16767	4d47f4451825209acf53de9354b105eeacbf1f9d49e44dd25919bf4df4ea4f91	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/flowNexus.md	747	68e1312263c6a29d2ffe70d447bd74415b556defe219f3362c1b6d4736ec74bf	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/highLevelView.md	231	c76eda3c7ff903db90ce95a618c4708d8a714994f64a259c0c4d95afcf31b4a8	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/nexus.md	4841	8a40043950dd475963ca3b901f0c3eb37bc8041d280f2e46a0331262ce1d2676	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/orchestrate.md	281	9cced928c8bdc0e9ab58ca50053d00c5a0e6081f599d240ac927b97ba29f93d9	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/protos.md	6581	8cc31f5aa370a49278541f930a5bb498060400ccfabcf8355995722d306f6f68	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/remembering.md	610	71e721d3de29a6810e73f851e439341ec39771d8f161579a6d177c710f43baa3	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sema.md	509	c673c38efc010080907d016d59ba6d461995621041e713a92b78ab3504ac5258	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/signal.md	1045	26bca161c8cad99f50ed7d7d77fa4f95dbce30ca55d8b90a29d1a436ec619e90	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/x11.md	57	06d9b3099998bef5bacaa483e4f8e5327d23dcb2f6716f1ecbc2d5bd805d3563	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/datom.md	999	ae821e143862043950d2d4f0b9dcd40a7111890be25cdc18e3f9e2e4e537e3aa	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/distillation.md	129	3bcea4e8a574b5afd79b4abd2aa79ca4141e2c1fae7c492d3a1e7379c7944f5c	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/ethos.md	894	7efd24c6c5903f52b9890efd0a24576f728c361737a7a1b2c99a5d940e7677aa	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/ethosMonolith.md	112	a40f43470f212976717a52f5586fdb1eeddf235ebedbe3bffa89f7df3f093582	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/flowNexus.md	93	2bced5206488dc79c1767032fd10a1c5d072d4c5db0ac745bb2d0dbaa0e76c31	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/highLevelView.md	77	ae1b5460aeecb6b64524eabe8097cebf6a60c5bef5173f1886bdceca57cb66d4	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/nexus.md	292	cb9665adf65077b5147b8c7c601a64803877c9b4ca99cff8cbc1c8881e029d6e	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/orchestrate.md	84	3a625cff551f363b7fd2c2a88f3896e911e1284055eed8954c6e152f6cd77966	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/protos.md	576	aeda08d1a48472cb0421b697ad0e8c2017f6e44702af10c3927be836abc90b43	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/remembering.md	48	cb3e5cdc145c718a2796b0e84f9e4030043147fceed11e736417b724454d8338	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/sema.md	118	3057fd8e1a80b49c6b58e59443294b4e8f52d5623165f5da02e1d322ee6c0ad1	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-vision	/home/li/primary/Vision/sources/signal.md	200	7a46e7b5ab3e375db3f45ae6030423100dcf5baf8b1560a33e7bfb21aadca598	2026-09-15T23:07:56-06:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/sources/anatomy.md	36	a7a0ae6bdca0f1e7591a3b045e57bdf261875d0529045ebcea89ac6114502775	2026-09-16T05:16:42.571080+00:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/sources/context.md	50	2f22e77ebff92797c177a599796a34c88fdedd506f9982148dddc8f21ecc264c	2026-09-16T05:16:42.571080+00:00	filesystem-snapshot
current-intent	/home/li/primary/Intent/sources/conversion.md	53	0bae2d89040fe109e4881c36cb94f41c5b5115ed42c64603e12322aee033a656	2026-09-16T05:16:42.571080+00:00	filesystem-snapshot
current-spirit-design	/home/li/primary/design/Spirit/SpiritIntentVisionGradation-2026-08-05.md	3523	1218217e7ec43890c2160cdbe851849c4580666d4d81a7f83c5deb12d76a4963	2026-09-16T05:16:42.571080+00:00	filesystem-snapshot
current-spirit-design	/home/li/primary/design/Spirit/SpiritSurfaceRemoval-2026-08-03.md	1622	1ebc1b9edd6aa4ec4a4edc64e9d276d32b2e032da802168856da3662fc4c1faa	2026-09-16T05:16:42.571080+00:00	filesystem-snapshot
current-spirit-design	/home/li/primary/design/Spirit/psycheUnderstandingComments-2026-08-07.md	2187	c7fefe9e5c33e076c4c4dbe61e3d992258914f315566d248583a74398f50c29d	2026-09-16T05:16:42.571080+00:00	filesystem-snapshot
historical-launch-source	/home/li/.claude/daemon/dispatch/rejected/840e42bb.json	285077	b68ecfb4f1e4270bea0a7fbf2818c3aa3586ae84f1b1f0bf4c5df52afd8ea7d9	2026-09-16T06:29:44.878362+00:00	rejected-dispatch-artifact-not-acceptance
historical-extracted-context	/home/li/wt/github.com/LiGoldragon/primary/cf7879-report-recovery/flows/cf7879/handoff/claude-successor-840e42-ready/historical-ten-turns-and-decisions.md	8548	25113b2e6014b76e64b37a4fd8c340a943bfd6509992f539ed0af9d43902eecb	2026-09-16T06:29:44.878362+00:00	exact-section-extraction-launch.args[11]
current-840e42-log	/home/li/primary/.claude/worktrees/flow-840e42/flows/840e42/log.md	45416	7cb4fdde6ecd61cd0e96507710f7b8a769bf591330e55abf897e2a35d693c378	2026-09-16T07:20:06.116570+00:00	filesystem-snapshot
current-840e42-vision	/home/li/primary/.claude/worktrees/flow-840e42/flows/840e42/vision/cloud.md	952	6ebba6b43da729ea8570c2db0e3c3b159f84e8e809122bc40cf26485f28abf32	2026-09-16T06:29:44.878362+00:00	filesystem-snapshot
current-840e42-vision	/home/li/primary/.claude/worktrees/flow-840e42/flows/840e42/vision/core.md	1837	28d9c1c3ab3b06dd7ecd373d6244e266fbb1ebd31e65f125544217a6da626e00	2026-09-16T06:29:44.878362+00:00	filesystem-snapshot
current-840e42-vision	/home/li/primary/.claude/worktrees/flow-840e42/flows/840e42/vision/flow.md	661	e45fa4fb8cbeef008b40f1a316e9fa962851c787326386e1c6eb0d5cbcfbec30	2026-09-16T06:29:44.878362+00:00	filesystem-snapshot
